"StudyID","SnapshotDate","GroupLevel","GroupID","MetricID","State","AssignedTo","RiskSignalID","RiskSignalURL","SignalDescription","RecommendedAction","ActionTaken","CTMSID","CreatedDate","ResolvedDate","ExtractionDate","RiskSignalDuplicateFlag","RelevantSnapshotDate","RelevantSnapshotFlag","RiskSignalAge","FunctionalArea","GroupLabel","MetricLabel","MetricAbbreviation","Country"
"AA-AA-000-0000",2025-02-01,"Site","0X1257","Analysis_kri0001","No Action",,900001,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900001","Synthetic risk signal for Analysis_kri0001 at 0X1257","Review the synthetic risk signal.","Synthetic triage found no action required.",,2025-02-02,2025-02-08,2025-04-15,FALSE,2025-02-01,TRUE,8,"Central Monitoring","Doe","Adverse Event Rate","AE","Japan"
"AA-AA-000-0000",2025-02-01,"Site","0X1750","Analysis_kri0002","Awaiting Triage",,900002,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900002","Synthetic risk signal for Analysis_kri0002 at 0X1750","Review the synthetic risk signal.",,,2025-02-02,,2025-04-15,FALSE,2025-02-01,TRUE,74,"Central Monitoring","Smith","Serious Adverse Event Rate","SAE","US"
"AA-AA-000-0000",2025-02-01,"Site","0X1750","Analysis_kri0014","No Action",,900003,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900003","Synthetic risk signal for Analysis_kri0014 at 0X1750","Review the synthetic risk signal.","Synthetic triage found no action required.",,2025-02-02,2025-02-08,2025-04-15,FALSE,2025-02-01,TRUE,8,"Central Monitoring","Smith","Ineligibility","IE","US"
"AA-AA-000-0000",2025-02-01,"Site","0X1910","Analysis_kri0004","No Action",,900004,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900004","Synthetic risk signal for Analysis_kri0004 at 0X1910","Review the synthetic risk signal.","Synthetic triage found no action required.",,2025-02-02,2025-02-08,2025-04-15,FALSE,2025-02-01,TRUE,8,"Central Monitoring","Deer","Important Protocol Deviation Rate","IPD","US"
"AA-AA-000-0000",2025-02-01,"Site","0X1910","Analysis_kri0014","Closed Action","Synthetic Monitor",900005,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900005","Synthetic risk signal for Analysis_kri0014 at 0X1910","Review the synthetic risk signal.","Synthetic action completed.",,2025-02-02,2025-02-08,2025-04-15,FALSE,2025-04-01,FALSE,8,"Central Monitoring","Deer","Ineligibility","IE","US"
"AA-AA-000-0000",2025-02-01,"Site","0X213","Analysis_kri0014","Closed Action","Synthetic Monitor",900006,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900006","Synthetic risk signal for Analysis_kri0014 at 0X213","Review the synthetic risk signal.","Synthetic action completed.",,2025-02-02,2025-02-08,2025-04-15,FALSE,2025-04-01,FALSE,8,"Central Monitoring","Smith","Ineligibility","IE","UK"
"AA-AA-000-0000",2025-02-01,"Site","0X2170","Analysis_kri0002","Closed Action","Synthetic Monitor",900007,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900007","Synthetic risk signal for Analysis_kri0002 at 0X2170","Review the synthetic risk signal.","Synthetic action completed.",,2025-02-02,2025-02-08,2025-04-15,FALSE,2025-02-01,TRUE,8,"Central Monitoring","Deer","Serious Adverse Event Rate","SAE","Japan"
"AA-AA-000-0000",2025-02-01,"Site","0X2192","Analysis_kri0002","Open Action","Synthetic Monitor",900008,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900008","Synthetic risk signal for Analysis_kri0002 at 0X2192","Review the synthetic risk signal.",,,2025-02-02,,2025-04-15,FALSE,2025-02-01,TRUE,74,"Central Monitoring","Deer","Serious Adverse Event Rate","SAE","UK"
"AA-AA-000-0000",2025-02-01,"Site","0X2192","Analysis_kri0014","Open Action","Synthetic Monitor",900009,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900009","Synthetic risk signal for Analysis_kri0014 at 0X2192","Review the synthetic risk signal.",,,2025-02-02,,2025-04-15,FALSE,2025-02-01,TRUE,74,"Central Monitoring","Deer","Ineligibility","IE","UK"
"AA-AA-000-0000",2025-02-01,"Site","0X2532","Analysis_kri0002","Awaiting Triage",,900010,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900010","Synthetic risk signal for Analysis_kri0002 at 0X2532","Review the synthetic risk signal.",,,2025-02-02,,2025-04-15,FALSE,2025-02-01,TRUE,74,"Central Monitoring","Doe","Serious Adverse Event Rate","SAE","US"
"AA-AA-000-0000",2025-02-01,"Site","0X2532","Analysis_kri0004","Open Action","Synthetic Monitor",900011,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900011","Synthetic risk signal for Analysis_kri0004 at 0X2532","Review the synthetic risk signal.",,,2025-02-02,,2025-04-15,FALSE,2025-02-01,TRUE,74,"Central Monitoring","Doe","Important Protocol Deviation Rate","IPD","US"
