"GroupID","Param","Value","GroupLevel"
"AA-AA-000-0000","studyid","AA-AA-000-0000","Study"
"AA-AA-000-0000","nickname","OAK-38","Study"
"AA-AA-000-0000","protocol_title","Protocol Title P","Study"
"AA-AA-000-0000","status","Active","Study"
"AA-AA-000-0000","num_plan_site","150","Study"
"AA-AA-000-0000","num_plan_subj","1000","Study"
"AA-AA-000-0000","act_fpfv","2012-01-02","Study"
"AA-AA-000-0000","est_fpfv","2012-01-07","Study"
"AA-AA-000-0000","est_lplv","2012-07-22","Study"
"AA-AA-000-0000","est_lpfv","2012-03-24","Study"
"AA-AA-000-0000","db_lock_dt","2012-03-29","Study"
"AA-AA-000-0000","therapeutic_area","Virology","Study"
"AA-AA-000-0000","protocol_indication","Hematology","Study"
"AA-AA-000-0000","phase","P2","Study"
"AA-AA-000-0000","product","Product Name 14","Study"
"AA-AA-000-0000","SiteTarget","150","Study"
"AA-AA-000-0000","ParticipantTarget","1000","Study"
"AA-AA-000-0000","ParticipantCount","764","Study"
"AA-AA-000-0000","SiteCount","144","Study"
"AA-AA-000-0000","PercentSitesActivated","96","Study"
"AA-AA-000-0000","SiteActivation","144 / 150 (96%)","Study"
"AA-AA-000-0000","PercentParticipantsEnrolled","76.4","Study"
"AA-AA-000-0000","ParticipantEnrollment","764 / 1000 (76.4%)","Study"
"UK","ParticipantCount","273","Country"
"UK","SiteCount","54","Country"
"Japan","ParticipantCount","251","Country"
"Japan","SiteCount","46","Country"
"US","ParticipantCount","240","Country"
"US","SiteCount","44","Country"
