"GroupID","Param","Value","GroupLevel"
"AA-AA-000-0000","studyid","AA-AA-000-0000","Study"
"AA-AA-000-0000","nickname","OAK-38","Study"
"AA-AA-000-0000","protocol_title","Protocol Title P","Study"
"AA-AA-000-0000","status","Active","Study"
"AA-AA-000-0000","num_plan_site","150","Study"
"AA-AA-000-0000","num_plan_subj","1000","Study"
"AA-AA-000-0000","act_fpfv","2012-01-02","Study"
"AA-AA-000-0000","est_fpfv","2012-01-07","Study"
"AA-AA-000-0000","est_lplv","2012-07-24","Study"
"AA-AA-000-0000","est_lpfv","2012-03-26","Study"
"AA-AA-000-0000","therapeutic_area","Virology","Study"
"AA-AA-000-0000","protocol_indication","Hematology","Study"
"AA-AA-000-0000","phase","P2","Study"
"AA-AA-000-0000","product","Product Name 14","Study"
"AA-AA-000-0000","SiteTarget","150","Study"
"AA-AA-000-0000","ParticipantTarget","1000","Study"
"AA-AA-000-0000","ParticipantCount","764","Study"
"AA-AA-000-0000","SiteCount","145","Study"
"AA-AA-000-0000","PercentSitesActivated","96.7","Study"
"AA-AA-000-0000","SiteActivation","145 / 150 (96.7%)","Study"
"AA-AA-000-0000","PercentParticipantsEnrolled","76.4","Study"
"AA-AA-000-0000","ParticipantEnrollment","764 / 1000 (76.4%)","Study"
