"Active","Type","ID","GroupLevel","Abbreviation","Metric","Numerator","Denominator","Model","AnalysisType","Score","Threshold","AccrualThreshold","AccrualMetric","GenerateRiskSignal","Priority","Flag","ScoreCol","RiskScoreWeight","nPropRate","nNumDeviations","MetricID"
TRUE,"Analysis","cou0001","Country","AE","Adverse Event Rate","Adverse Events","Days on Study","Normal Approximation","rate","Adjusted Z-Score","-2,-1,2,3",30,"Denominator",TRUE,0,NA,NA,NA,NA,NA,"Analysis_cou0001"
TRUE,"Analysis","cou0002","Country","SAE","Serious Adverse Event Rate","Serious Adverse Events","Days on Study","Normal Approximation","rate","Adjusted Z-Score","-2,-1,2,3",30,"Denominator",TRUE,0,NA,NA,NA,NA,NA,"Analysis_cou0002"
TRUE,"Analysis","cou0003","Country","PD","Non-Important Protocol Deviation Rate","Non-Important Protocol Deviations","Days on Study","Normal Approximation","rate","Adjusted Z-Score","-3,-2,2,3",30,"Denominator",TRUE,0,NA,NA,NA,NA,NA,"Analysis_cou0003"
TRUE,"Analysis","cou0004","Country","IPD","Important Protocol Deviation Rate","Important Protocol Deviations","Days on Study","Normal Approximation","rate","Adjusted Z-Score","-3,-2,2,3",30,"Denominator",TRUE,0,NA,NA,NA,NA,NA,"Analysis_cou0004"
TRUE,"Analysis","cou0005","Country","LB","Grade 3+ Lab Abnormality Rate","Grade 3+ Abnormal Labs Samples","Total Lab Samples","Normal Approximation","binary","Adjusted Z-Score","2,3",10,"Numerator",TRUE,0,"0,1,2",NA,NA,NA,NA,"Analysis_cou0005"
TRUE,"Analysis","cou0006","Country","SDSC","Study Discontinuation Rate","Subjects Discontinued - Study","Enrolled Subjects","Normal Approximation","binary","Adjusted Z-Score","2,3",3,"Numerator",TRUE,0,"0,1,2",NA,NA,NA,NA,"Analysis_cou0006"
TRUE,"Analysis","cou0007","Country","TDSC","Treatment Discontinuation Rate","Subjects Discontinued - Treatment","Enrolled Subjects","Normal Approximation","binary","Adjusted Z-Score","2,3",3,"Numerator",TRUE,0,"0,1,2",NA,NA,NA,NA,"Analysis_cou0007"
TRUE,"Analysis","cou0008","Country","QRY","Query Rate","Queries","Total Data Points","Normal Approximation","rate","Adjusted Z-Score","2,3",30,"Numerator",TRUE,0,"0,1,2",NA,NA,NA,NA,"Analysis_cou0008"
TRUE,"Analysis","cou0009","Country","OQRY","Delayed Query Resolution Rate","Queries That Were Open > 30 Days","Total Queries","Normal Approximation","binary","Adjusted Z-Score","2,3",30,"Numerator",TRUE,0,"0,1,2",NA,NA,NA,NA,"Analysis_cou0009"
TRUE,"Analysis","cou0010","Country","ODAT","Delayed Data Entry Rate","Data Pages Entered > 10 Days","Total Data Pages","Normal Approximation","binary","Adjusted Z-Score","2,3",30,"Numerator",TRUE,0,"0,1,2",NA,NA,NA,NA,"Analysis_cou0010"
TRUE,"Analysis","cou0011","Country","CDAT","Data Change Rate","Data Points with 1+ Change","Total Data Points","Normal Approximation","binary","Adjusted Z-Score","2,3",100,"Numerator",TRUE,0,"0,1,2",NA,NA,NA,NA,"Analysis_cou0011"
TRUE,"Analysis","cou0012","Country","SF","Screen Failure Rate","Screen Failures","Screened Subjects","Normal Approximation","binary","Adjusted Z-Score","-3,-2,2,3",3,"Denominator",TRUE,0,NA,NA,NA,NA,NA,"Analysis_cou0012"
TRUE,"Analysis","cou0013","Country","PK","PK Collection Compliance Rate","PK Samples Collected","PK Samples Expected","Identity","identity","PK Collection Compliance Rate","0.9,0.85",3,"Difference",TRUE,0,"-2,-1,0",NA,NA,NA,NA,"Analysis_cou0013"
TRUE,"Analysis","cou0014","Country","IE","Ineligibility","Number of subjects ineligible","Number of subjects enrolled","Identity (Numerator)","identity","Ineligible Participants","1.5, 2.5",3,"Denominator",TRUE,0,"0,1,2","Numerator","0,8,16",NA,NA,"Analysis_cou0014"
TRUE,"Analysis","cou0015","Country","DTH90","Premature Death Rate","Deaths in First 90 Days","Enrolled Subjects","Identity","identity","Numerator","1,2",1,"Denominator",TRUE,0,"0,1,2",NA,NA,NA,NA,"Analysis_cou0015"
